#Rank	Path	LengthInKmers	Flows
0	0	40879	3
0	1000000	74687	3
0	2000000	81349	3
0	3000000	71930	3
0	4000000	27222	3
0	5000000	61588	3
0	6000000	39799	3
0	7000000	133652	3
0	8000000	32884	3
0	10000000	59903	3
0	11000000	29810	3
0	12000000	15066	3
0	13000000	47007	3
0	14000000	27036	3
0	15000000	51794	3
0	16000000	70171	3
0	17000000	22327	3
0	18000000	90136	3
0	19000000	25169	3
0	20000000	44417	3
0	22000000	21962	3
0	23000000	36887	3
0	24000000	31777	3
0	25000000	53591	3
0	26000000	96354	3
0	27000000	101633	3
0	28000000	29185	3
0	29000000	38992	3
0	30000000	38169	3
0	31000000	14341	3
0	34000000	77655	3
0	36000000	62991	3
0	37000000	60327	3
0	40000000	20868	3
0	41000000	39116	3
0	42000000	25295	3
0	44000000	17695	3
0	45000000	26841	3
0	47000000	11361	3
0	48000000	68533	3
0	49000000	75485	3
0	50000000	38348	3
0	51000000	35335	3
0	53000000	29871	3
0	54000000	27145	3
0	56000000	11741	3
0	57000000	19748	3
0	60000000	58948	3
0	61000000	41371	3
0	62000000	74819	3
0	63000000	14256	3
0	64000000	68855	3
0	65000000	27815	3
0	67000000	33159	3
0	69000000	47014	3
0	70000000	56911	3
0	71000000	57104	3
0	72000000	15095	3
0	73000000	11527	3
0	74000000	63595	3
0	76000000	114729	3
0	78000000	23354	3
0	79000000	19530	3
0	80000000	39000	3
0	81000000	143117	3
0	82000000	9319	3
0	83000000	30244	3
0	85000000	31838	3
0	89000000	33223	3
0	92000000	18523	3
0	94000000	45333	3
0	95000000	81327	3
0	96000000	38172	3
0	97000000	11063	3
0	99000000	48314	3
0	100000000	8342	3
0	101000000	23347	3
0	103000000	53488	3
0	105000000	9381	2
0	106000000	19746	3
0	107000000	43120	3
0	108000000	9623	3
0	109000000	44646	3
0	110000000	17097	3
0	111000000	22957	3
0	112000000	42121	3
0	113000000	38336	3
0	117000000	9407	3
0	121000000	27304	3
0	123000000	19974	3
0	129000000	86495	3
0	130000000	7371	3
0	133000000	25515	3
0	137000000	56463	3
0	139000000	22256	3
0	141000000	17853	3
0	142000000	22064	3
0	144000000	67266	3
