# SeedLengthInNucleotides	Frequency
100	2
101	2
102	3
103	2
104	2
105	6
106	5
107	3
108	3
109	2
110	3
111	3
112	6
113	2
114	2
115	3
116	1
117	4
118	3
119	3
120	4
121	3
122	1
123	2
124	6
125	1
126	5
128	5
130	1
131	2
132	5
133	3
134	1
136	4
137	1
138	2
139	2
140	2
141	6
142	2
143	6
144	1
145	6
146	1
147	1
148	3
149	3
150	3
151	2
152	2
153	1
154	3
155	3
156	2
157	2
159	4
160	2
161	3
162	2
163	2
164	2
165	1
166	2
167	2
169	2
171	1
172	4
173	2
174	2
176	1
177	1
178	2
179	1
180	2
181	1
183	3
184	3
185	1
186	6
187	3
188	2
189	1
190	5
191	3
192	3
193	2
194	2
196	2
197	4
198	1
199	4
200	4
201	3
202	1
204	1
205	2
206	4
207	1
208	1
209	2
210	3
211	2
213	1
215	4
216	2
217	1
218	2
219	2
220	2
221	1
222	2
223	5
226	2
227	1
228	1
229	5
230	1
233	1
235	3
236	2
237	5
238	1
239	2
240	2
241	1
242	2
243	1
244	5
245	2
246	1
247	2
250	1
251	1
252	1
253	1
254	2
255	2
257	2
259	1
260	4
261	1
262	2
263	1
264	1
265	2
266	2
268	7
269	1
270	1
274	1
275	2
276	1
278	1
281	3
282	1
283	1
284	1
287	2
288	1
289	2
290	1
292	1
293	1
294	1
295	1
300	1
303	1
304	1
308	3
309	1
311	1
315	2
316	2
318	1
319	2
320	2
321	2
322	2
324	1
325	2
326	1
328	1
329	2
331	1
332	1
334	1
336	2
337	1
338	1
339	1
345	1
346	1
349	1
351	1
359	1
364	1
366	2
367	2
368	1
371	2
374	1
375	3
382	2
383	2
385	4
386	1
387	3
393	1
397	3
398	1
401	1
402	2
403	3
405	1
406	1
407	1
408	2
409	1
414	1
415	2
416	1
418	1
420	1
423	1
424	2
425	1
426	1
427	2
428	1
430	1
432	1
433	2
437	1
438	1
439	1
441	1
443	1
448	1
450	1
452	3
453	3
455	1
457	3
458	1
461	3
463	1
467	1
468	1
470	2
471	1
472	1
475	1
477	1
479	1
482	1
483	1
484	1
485	1
487	2
488	2
490	2
491	1
493	2
494	1
497	2
499	2
504	1
507	1
509	2
511	2
512	1
513	2
515	1
517	1
518	1
519	1
521	2
522	3
523	1
524	2
527	2
528	1
531	1
533	1
534	1
535	1
536	1
538	1
541	3
542	1
546	1
547	2
550	1
551	1
552	2
554	1
558	1
560	2
563	1
564	1
565	1
569	1
573	2
575	1
576	1
577	2
578	1
579	2
582	1
584	1
586	1
590	1
592	1
593	1
596	2
597	2
600	1
608	1
611	1
612	1
613	1
615	1
616	1
617	1
619	1
620	1
621	3
622	1
629	1
632	1
634	1
635	1
636	1
637	1
639	1
642	1
643	1
644	1
648	3
649	1
656	1
663	1
664	1
668	1
670	1
678	1
679	1
682	2
684	3
688	1
689	2
691	3
692	1
693	1
696	1
704	1
707	2
709	1
711	1
714	2
717	1
721	1
725	1
726	1
727	2
728	1
738	1
740	2
742	2
746	1
748	1
749	1
750	1
751	1
756	1
757	1
761	1
764	1
765	1
766	1
772	2
773	1
774	1
775	1
783	1
791	1
797	1
801	1
805	1
807	1
808	1
809	1
814	1
815	1
816	1
817	1
821	1
828	2
829	1
832	2
834	2
843	1
844	1
845	1
847	1
848	1
