# [1]Depth	[2]Cumulative number of genotypes	[3]Number of genotypes
1	0.000000	0.000000
3	0.000000	0.000000
5	0.000000	0.000000
6	0.000000	0.000000
9	0.000000	0.000000
10	0.000000	0.000000
11	0.000000	0.000000
13	0.000000	0.000000
23	0.000000	0.000000
25	0.000000	0.000000
26	0.000000	0.000000
38	0.000000	0.000000
47	0.000000	0.000000
48	0.000000	0.000000
51	0.000000	0.000000
53	0.000000	0.000000
57	0.000000	0.000000
58	0.000000	0.000000
69	0.000000	0.000000
71	0.000000	0.000000
72	0.000000	0.000000
75	0.000000	0.000000
78	0.000000	0.000000
83	0.000000	0.000000
86	0.000000	0.000000
97	0.000000	0.000000
100	0.000000	0.000000
104	0.000000	0.000000
106	0.000000	0.000000
107	0.000000	0.000000
109	0.000000	0.000000
113	0.000000	0.000000
114	0.000000	0.000000
119	0.000000	0.000000
121	0.000000	0.000000
122	0.000000	0.000000
123	0.000000	0.000000
125	0.000000	0.000000
127	0.000000	0.000000
129	0.000000	0.000000
138	0.000000	0.000000
151	0.000000	0.000000
172	0.000000	0.000000
183	0.000000	0.000000
186	0.000000	0.000000
188	0.000000	0.000000
189	0.000000	0.000000
190	0.000000	0.000000
196	0.000000	0.000000
197	0.000000	0.000000
198	0.000000	0.000000
201	0.000000	0.000000
203	0.000000	0.000000
209	0.000000	0.000000
212	0.000000	0.000000
213	0.000000	0.000000
220	0.000000	0.000000
221	0.000000	0.000000
222	0.000000	0.000000
226	0.000000	0.000000
231	0.000000	0.000000
238	0.000000	0.000000
239	0.000000	0.000000
240	0.000000	0.000000
245	0.000000	0.000000
252	0.000000	0.000000
254	0.000000	0.000000
257	0.000000	0.000000
266	0.000000	0.000000
268	0.000000	0.000000
273	0.000000	0.000000
274	0.000000	0.000000
276	0.000000	0.000000
278	0.000000	0.000000
281	0.000000	0.000000
284	0.000000	0.000000
286	0.000000	0.000000
290	0.000000	0.000000
291	0.000000	0.000000
292	0.000000	0.000000
301	0.000000	0.000000
306	0.000000	0.000000
307	0.000000	0.000000
310	0.000000	0.000000
312	0.000000	0.000000
334	0.000000	0.000000
336	0.000000	0.000000
339	0.000000	0.000000
340	0.000000	0.000000
341	0.000000	0.000000
346	0.000000	0.000000
347	0.000000	0.000000
351	0.000000	0.000000
357	0.000000	0.000000
359	0.000000	0.000000
360	0.000000	0.000000
361	0.000000	0.000000
362	0.000000	0.000000
364	0.000000	0.000000
365	0.000000	0.000000
366	0.000000	0.000000
367	0.000000	0.000000
369	0.000000	0.000000
373	0.000000	0.000000
374	0.000000	0.000000
376	0.000000	0.000000
384	0.000000	0.000000
386	0.000000	0.000000
388	0.000000	0.000000
390	0.000000	0.000000
391	0.000000	0.000000
394	0.000000	0.000000
399	0.000000	0.000000
402	0.000000	0.000000
410	0.000000	0.000000
411	0.000000	0.000000
414	0.000000	0.000000
415	0.000000	0.000000
416	0.000000	0.000000
419	0.000000	0.000000
420	0.000000	0.000000
421	0.000000	0.000000
422	0.000000	0.000000
425	0.000000	0.000000
426	0.000000	0.000000
429	0.000000	0.000000
430	0.000000	0.000000
431	0.000000	0.000000
432	0.000000	0.000000
434	0.000000	0.000000
437	0.000000	0.000000
438	0.000000	0.000000
439	0.000000	0.000000
440	0.000000	0.000000
441	0.000000	0.000000
443	0.000000	0.000000
445	0.000000	0.000000
447	0.000000	0.000000
448	0.000000	0.000000
449	0.000000	0.000000
450	0.000000	0.000000
452	0.000000	0.000000
454	0.000000	0.000000
455	0.000000	0.000000
457	0.000000	0.000000
459	0.000000	0.000000
460	0.000000	0.000000
461	0.000000	0.000000
464	0.000000	0.000000
466	0.000000	0.000000
468	0.000000	0.000000
471	0.000000	0.000000
473	0.000000	0.000000
474	0.000000	0.000000
475	0.000000	0.000000
476	0.000000	0.000000
478	0.000000	0.000000
479	0.000000	0.000000
480	0.000000	0.000000
481	0.000000	0.000000
482	0.000000	0.000000
484	0.000000	0.000000
486	0.000000	0.000000
487	0.000000	0.000000
488	0.000000	0.000000
489	0.000000	0.000000
491	0.000000	0.000000
493	0.000000	0.000000
494	0.000000	0.000000
496	0.000000	0.000000
497	0.000000	0.000000
498	0.000000	0.000000
499	0.000000	0.000000
