# [1]Depth	[2]Cumulative number of genotypes	[3]Number of genotypes
1	0.000000	0.000000
2	0.000000	0.000000
3	0.000000	0.000000
4	0.000000	0.000000
5	0.000000	0.000000
6	0.000000	0.000000
7	0.000000	0.000000
8	0.000000	0.000000
9	0.000000	0.000000
10	0.000000	0.000000
11	0.000000	0.000000
13	0.000000	0.000000
14	0.000000	0.000000
15	0.000000	0.000000
16	0.000000	0.000000
17	0.000000	0.000000
18	0.000000	0.000000
20	0.000000	0.000000
21	0.000000	0.000000
24	0.000000	0.000000
25	0.000000	0.000000
26	0.000000	0.000000
28	0.000000	0.000000
30	0.000000	0.000000
31	0.000000	0.000000
35	0.000000	0.000000
37	0.000000	0.000000
38	0.000000	0.000000
43	0.000000	0.000000
46	0.000000	0.000000
47	0.000000	0.000000
48	0.000000	0.000000
49	0.000000	0.000000
52	0.000000	0.000000
58	0.000000	0.000000
64	0.000000	0.000000
71	0.000000	0.000000
83	0.000000	0.000000
86	0.000000	0.000000
87	0.000000	0.000000
88	0.000000	0.000000
91	0.000000	0.000000
103	0.000000	0.000000
116	0.000000	0.000000
119	0.000000	0.000000
155	0.000000	0.000000
162	0.000000	0.000000
173	0.000000	0.000000
182	0.000000	0.000000
186	0.000000	0.000000
191	0.000000	0.000000
194	0.000000	0.000000
198	0.000000	0.000000
200	0.000000	0.000000
206	0.000000	0.000000
208	0.000000	0.000000
217	0.000000	0.000000
221	0.000000	0.000000
223	0.000000	0.000000
234	0.000000	0.000000
236	0.000000	0.000000
243	0.000000	0.000000
244	0.000000	0.000000
248	0.000000	0.000000
249	0.000000	0.000000
250	0.000000	0.000000
253	0.000000	0.000000
256	0.000000	0.000000
257	0.000000	0.000000
266	0.000000	0.000000
267	0.000000	0.000000
269	0.000000	0.000000
271	0.000000	0.000000
274	0.000000	0.000000
287	0.000000	0.000000
291	0.000000	0.000000
292	0.000000	0.000000
293	0.000000	0.000000
295	0.000000	0.000000
299	0.000000	0.000000
300	0.000000	0.000000
302	0.000000	0.000000
303	0.000000	0.000000
310	0.000000	0.000000
311	0.000000	0.000000
313	0.000000	0.000000
314	0.000000	0.000000
315	0.000000	0.000000
317	0.000000	0.000000
321	0.000000	0.000000
322	0.000000	0.000000
329	0.000000	0.000000
332	0.000000	0.000000
335	0.000000	0.000000
340	0.000000	0.000000
342	0.000000	0.000000
344	0.000000	0.000000
345	0.000000	0.000000
350	0.000000	0.000000
352	0.000000	0.000000
362	0.000000	0.000000
363	0.000000	0.000000
366	0.000000	0.000000
367	0.000000	0.000000
374	0.000000	0.000000
376	0.000000	0.000000
386	0.000000	0.000000
392	0.000000	0.000000
393	0.000000	0.000000
394	0.000000	0.000000
399	0.000000	0.000000
402	0.000000	0.000000
407	0.000000	0.000000
408	0.000000	0.000000
413	0.000000	0.000000
414	0.000000	0.000000
421	0.000000	0.000000
432	0.000000	0.000000
436	0.000000	0.000000
439	0.000000	0.000000
440	0.000000	0.000000
448	0.000000	0.000000
449	0.000000	0.000000
452	0.000000	0.000000
457	0.000000	0.000000
460	0.000000	0.000000
464	0.000000	0.000000
466	0.000000	0.000000
467	0.000000	0.000000
469	0.000000	0.000000
471	0.000000	0.000000
473	0.000000	0.000000
475	0.000000	0.000000
477	0.000000	0.000000
480	0.000000	0.000000
481	0.000000	0.000000
482	0.000000	0.000000
483	0.000000	0.000000
486	0.000000	0.000000
487	0.000000	0.000000
488	0.000000	0.000000
491	0.000000	0.000000
492	0.000000	0.000000
493	0.000000	0.000000
494	0.000000	0.000000
495	0.000000	0.000000
498	0.000000	0.000000
500	0.000000	0.000000
